character typed,2019-06-05T06:41:49,e,0,N,1
word typed,2019-06-05T06:41:49,Die,281,N,1
character typed,2019-06-05T06:41:50,B,0,N,1
character typed,2019-06-05T06:41:50,u,0,N,1
character typed,2019-06-05T06:41:50,n,0,N,1
character typed,2019-06-05T06:41:50,d,0,N,1
character typed,2019-06-05T06:41:50,e,0,N,1
character typed,2019-06-05T06:41:50,s,0,N,1
character typed,2019-06-05T06:41:50,k,0,N,1
character typed,2019-06-05T06:41:51,a,0,N,1
character typed,2019-06-05T06:41:51,n,0,N,1
character typed,2019-06-05T06:41:51,u,0,N,1
character typed,2019-06-05T06:41:51,l,0,N,1
character typed,2019-06-05T06:41:51,e,0,N,1
character typed,2019-06-05T06:41:51,r,0,N,1
character typed,2019-06-05T06:41:52,i,0,N,1
character typed,2019-06-05T06:41:52,n,0,N,1
word typed,2019-06-05T06:41:52,Bundeskanulerin,2364,N,1
character typed,2019-06-05T06:41:52,v,0,N,1
character typed,2019-06-05T06:41:52,o,0,N,1
character typed,2019-06-05T06:41:52,n,0,N,1
word typed,2019-06-05T06:41:52,von,216,N,1
character typed,2019-06-05T06:41:53,D,0,N,1
character typed,2019-06-05T06:41:53,e,0,N,1
character typed,2019-06-05T06:41:53,u,0,N,1
character typed,2019-06-05T06:41:53,t,0,N,1
character typed,2019-06-05T06:41:53,s,0,N,1
character typed,2019-06-05T06:41:54,c,0,N,1
character typed,2019-06-05T06:41:54,h,0,N,1
character typed,2019-06-05T06:41:54,l,0,N,1
character typed,2019-06-05T06:41:54,a,0,N,1
character typed,2019-06-05T06:41:54,n,0,N,1
character typed,2019-06-05T06:41:54,d,0,N,1
word typed,2019-06-05T06:41:54,Deutschland,1358,N,1
character typed,2019-06-05T06:41:54,i,0,N,1
character typed,2019-06-05T06:41:54,s,0,N,1
character typed,2019-06-05T06:41:54,t,0,N,1
word typed,2019-06-05T06:41:55,ist,235,N,1
character typed,2019-06-05T06:41:55,A,0,N,1
character typed,2019-06-05T06:41:55,n,0,N,1
character typed,2019-06-05T06:41:55,g,0,N,1
character typed,2019-06-05T06:41:55,e,0,N,1
character typed,2019-06-05T06:41:55,l,0,N,1
character typed,2019-06-05T06:41:55,a,0,N,1
word typed,2019-06-05T06:41:56,Angela,936,N,1
character typed,2019-06-05T06:41:56,M,0,N,1
character typed,2019-06-05T06:41:56,e,0,N,1
character typed,2019-06-05T06:41:56,r,0,N,1
character typed,2019-06-05T06:41:56,k,0,N,1
character typed,2019-06-05T06:41:57,e,0,N,1
character typed,2019-06-05T06:41:57,l,0,N,1
word typed,2019-06-05T06:41:57,Merkel,1095,N,1
sentence typed,2019-06-05T06:41:57,Die Bundeskanulerin von Deutschland ist Angela Merkel,8071,N,1
character typed,2019-06-05T06:41:58,V,0,N,1
character typed,2019-06-05T06:41:58,i,0,N,1
character typed,2019-06-05T06:41:58,e,0,N,1
character typed,2019-06-05T06:41:59,l,0,N,1
character typed,2019-06-05T06:41:59,e,0,N,1
word typed,2019-06-05T06:41:59,Viele,722,N,1
character typed,2019-06-05T06:41:59,M,0,N,1
character typed,2019-06-05T06:41:59,e,0,N,1
character typed,2019-06-05T06:42:00,n,0,N,1
character typed,2019-06-05T06:42:00,s,0,N,1
character typed,2019-06-05T06:42:00,c,0,N,1
character typed,2019-06-05T06:42:00,h,0,N,1
character typed,2019-06-05T06:42:00,e,0,N,1
character typed,2019-06-05T06:42:00,n,0,N,1
word typed,2019-06-05T06:42:00,Menschen,924,N,1
character typed,2019-06-05T06:42:00,m,0,N,1
character typed,2019-06-05T06:42:00,ö,0,N,1
character typed,2019-06-05T06:42:01,g,0,N,1
character typed,2019-06-05T06:42:01,e,0,N,1
character typed,2019-06-05T06:42:01,n,0,N,1
word typed,2019-06-05T06:42:01,mögen,541,N,1
character typed,2019-06-05T06:42:01,i,0,N,1
character typed,2019-06-05T06:42:01,e,0,N,1
character typed,2019-06-05T06:42:02,e,0,N,1
character typed,2019-06-05T06:42:02,i,0,N,1
character typed,2019-06-05T06:42:02,s,0,N,1
character typed,2019-06-05T06:42:03,g,0,N,1
character typed,2019-06-05T06:42:03,e,0,N,1
character typed,2019-06-05T06:42:03,k,0,N,1
